path_x; path_z
-486.461759; 214.28827
-487.158404; 214.846942
-487.8515; 215.41001
-488.540952; 215.977534
-489.226677; 216.549583
-489.908525; 217.126168
-490.58644; 217.707375
-491.260326; 218.293254
-491.930084; 218.883854
-492.595614; 219.479218
-493.25682; 220.079387
-493.9136; 220.6844
-494.565858; 221.294292
-495.213493; 221.909095
-495.856407; 222.528837
-496.494501; 223.153543
-497.127679; 223.783235
-497.755841; 224.417931
-498.37904; 225.0578
-498.996881; 225.702545
-499.609421; 226.352328
-500.216566; 227.007155
-500.818226; 227.667026
-501.41431; 228.331939
-502.004729; 229.001887
-502.589396; 229.676862
-503.168226; 230.356848
-503.741119; 231.041809
-504.308017; 231.731752
-504.868841; 232.426652
-505.423512; 233.12648
-505.971955; 233.831204
-506.514122; 234.540812
-507.049953; 235.255172
-507.579488; 235.974181
-508.102779; 236.697761
-508.619855; 237.425805
-509.130742; 238.15821
-509.635469; 238.894877
-510.134103; 239.635775
-510.626567; 240.380656
-511.112953; 241.129532
-511.593283; 241.882317
-512.06758; 242.638926
-512.535862; 243.399277
-512.998149; 244.163291
-513.454496; 244.930955
-513.904845; 245.702067
-514.349236; 246.476597
-514.787701; 247.254505
-515.220254; 248.035724
-515.646906; 248.820187
-516.067666; 249.60783
-516.482544; 250.398589
-516.891547; 251.192405
-517.294681; 251.989217
-517.691981; 252.789027
-518.083387; 253.591651
-518.468937; 254.397108
-518.848634; 255.205344
-519.222476; 256.016308
-519.590461; 256.829948
-519.952586; 257.646214
-520.308846; 258.465058
-520.659236; 259.286431
-521.003748; 260.110287
-521.34237; 260.936572
-521.67512; 261.765315
-522.001937; 262.596349
-522.322833; 263.429688
-522.637791; 264.265289
-522.946807; 265.103141
-523.24984; 265.94314
-523.546881; 266.785276
-523.837911; 267.629509
-524.122907; 268.475799
-524.401844; 269.324104
-524.674696; 270.174386
-524.941444; 271.026629
-525.202026; 271.880691
-525.456454; 272.736668
-525.704678; 273.594463
-525.946663; 274.45404
-526.182373; 275.315358
-526.411771; 276.178379
-526.634818; 277.043064
-526.851471; 277.909372
-527.061688; 278.777264
-527.265424; 279.646701
-527.462631; 280.517641
-527.653262; 281.390045
-527.837264; 282.26387
-528.014585; 283.139072
-528.185171; 284.015618
-528.348965; 284.893458
-528.505908; 285.772549
-528.655938; 286.652847
-528.798992; 287.534304
-528.935004; 288.416875
-529.063909; 289.300512
-529.185634; 290.185166
-529.300109; 291.070787
-529.40726; 291.957324
-529.507008; 292.844723
-529.599276; 293.732931
-529.683981; 294.621871
-529.761042; 295.511534
-529.830371; 296.401833
-529.891879; 297.292705
-529.945476; 298.184088
-529.991067; 299.075916
-530.028556; 299.96812
-530.057845; 300.86063
-530.078832; 301.753373
-530.091414; 302.646274
-530.095485; 303.539253
-530.090935; 304.432228
-530.077656; 305.325065
-530.05553; 306.217788
-530.024443; 307.110243
-529.984275; 308.002335
-529.934907; 308.893963
-529.876214; 309.785026
-529.808071; 310.675414
-529.730351; 311.565017
-529.642924; 312.453716
-529.545658; 313.341392
-529.438419; 314.227916
-529.321073; 315.113159
-529.193492; 315.996915
-529.055518; 316.879188
-528.907022; 317.75975
